MC5;
time/s;Fluo/V;P700 deltaI/I x10³;
17.480;0.2518;0.6479;
17.500;0.2596;0.5495;
17.520;0.2596;0.5946;
17.540;0.2596;0.5782;
17.560;0.2547;0.6397;
17.580;0.2547;0.5905;
17.600;0.2697;0.6110;
17.620;0.2697;0.5700;
17.640;0.2697;0.5618;
17.660;0.2653;0.6192;
17.680;0.2653;0.6069;
17.700;0.2595;0.5987;
17.720;0.2595;0.5331;
17.740;0.2595;0.5864;
17.760;0.2578;0.5782;
17.780;0.2578;0.6192;
17.800;0.2599;0.5372;
17.820;0.2599;0.5372;
17.840;0.2599;0.4675;
17.860;0.2695;0.5741;
17.880;0.2695;0.5823;
17.900;0.2651;0.5290;
17.920;0.2651;0.5577;
17.940;0.2651;0.5782;
17.960;0.2674;0.5618;
17.980;0.2674;0.5741;
18.000;0.2669;0.5741;
18.020;0.2669;0.5700;
18.040;0.2669;0.5700;
18.060;0.2587;0.5741;
